NAME	GEOID	SHOOTINGS	EDUCATION	POVERTY	YOUTH
4	47065000400	11	33%	14%	25%
6	47065000600	0	3%	15%	17%
7	47065000700	1	3%	12%	15%
8	47065000800	0	17%	19%	20%
11	47065001100	0	31%	13%	21%
12	47065001200	11	24%	33%	30%
13	47065001300	9	29%	36%	30%
14	47065001400	2	28%	25%	17%
16	47065001600	3	31%	63%	18%
18	47065001800	1	8%	17%	15%
19	47065001900	19	31%	36%	39%
20	47065002000	4	28%	24%	16%
23	47065002300	3	58%	32%	21%
24	47065002400	11	39%	47%	31%
25	47065002500	15	33%	30%	33%
26	47065002600	18	47%	32%	25%
28	47065002800	1	8%	9%	19%
29	47065002900	5	13%	19%	16%
30	47065003000	4	23%	12%	24%
31	47065003100	1	25%	25%	3%
32	47065003200	8	19%	12%	25%
33	47065003300	5	14%	5%	26%
34	47065003400	1	11%	20%	20%
101.01	47065010101	0	11%	9%	20%
101.03	47065010103	0	11%	10%	20%
101.04	47065010104	0	14%	7%	23%
102.01	47065010201	0	6%	2%	19%
102.02	47065010202	0	16%	15%	15%
103.03	47065010303	0	9%	3%	23%
103.04	47065010304	0	14%	11%	24%
103.05	47065010305	0	15%	1%	20%
103.06	47065010306	0	20%	14%	29%
103.07	47065010307	0	16%	13%	18%
104.11	47065010411	0	9%	9%	23%
104.12	47065010412	0	12%	11%	27%
104.13	47065010413	0	8%	7%	25%
104.31	47065010431	0	11%	7%	19%
104.32	47065010432	0	7%	3%	16%
104.33	47065010433	0	17%	25%	21%
104.34	47065010434	0	12%	14%	15%
104.35	47065010435	0	13%	13%	17%
105.01	47065010501	1	10%	10%	22%
105.02	47065010502	0	14%	9%	14%
106	47065010600	0	13%	11%	16%
107	47065010700	0	9%	17%	15%
108	47065010800	0	15%	18%	22%
109.01	47065010901	0	35%	17%	18%
109.02	47065010902	0	22%	21%	11%
109.03	47065010903	3	8%	24%	12%
110.01	47065011001	1	24%	13%	17%
110.02	47065011002	0	6%	5%	27%
111	47065011100	0	3%	1%	27%
112.01	47065011201	0	6%	10%	21%
112.03	47065011203	0	10%	5%	16%
112.04	47065011204	0	7%	6%	19%
113.11	47065011311	0	24%	14%	17%
113.14	47065011314	0	10%	10%	25%
113.21	47065011321	1	9%	10%	22%
113.23	47065011323	0	7%	9%	21%
113.24	47065011324	0	5%	4%	24%
113.25	47065011325	0	4%	2%	24%
113.26	47065011326	1	10%	14%	21%
114.02	47065011402	4	14%	4%	30%
114.11	47065011411	2	12%	17%	20%
114.13	47065011413	1	10%	4%	20%
114.42	47065011442	0	13%	7%	23%
114.43	47065011443	2	16%	14%	17%
114.44	47065011444	0	21%	7%	23%
114.45	47065011445	0	17%	8%	23%
114.46	47065011446	0	10%	6%	15%
114.47	47065011447	0	7%	6%	30%
116	47065011600	1	22%	16%	17%
117	47065011700	1	13%	10%	17%
118	47065011800	1	10%	10%	22%
119	47065011900	0	14%	11%	25%
120	47065012000	0	1%	1%	27%
121	47065012100	0	14%	14%	21%
122	47065012200	4	33%	21%	38%
123	47065012300	10	23%	31%	25%
124	47065012400	1	9%	29%	6%
9801	47065980100	0	No data	No data	No data
9802	47065980200	0 	No data	No data	No data
